from,to,status,distance210913,time210913,distance030813,time030813,distDiff,timeDiff
Cagliari,Campobasso,OK,744765,22807,815716,186597,-70951,-163790
Cagliari,Perugia,OK,626683,18885,697634,182620,-70951,-163735
Cagliari,Bari,OK,942564,29454,1014286,193239,-71722,-163785
Cagliari,Ancona,OK,839012,24145,909995,187882,-70983,-163737
Cagliari,L'Aquila,OK,645812,17443,716762,181177,-70950,-163734
Cagliari,Aosta,OK,1197771,37547,1268615,201763,-70844,-164216
Cagliari,Napoli,OK,740017,20533,810969,184267,-70952,-163734
Cagliari,Bologna,OK,816729,24408,887605,188523,-70876,-164115
Aosta,Roma,OK,760416,26497,760363,26494,53,3
Aosta,Firenze,OK,491344,17968,491290,17966,54,2
Aosta,Milano,OK,185818,8076,185817,8076,1,0
Aosta,Torino,OK,114786,5158,114786,5158,0,0
Aosta,Trento,OK,418929,15408,418931,15787,-2,-379
Aosta,Venezia,OK,447227,16473,446701,16853,526,-380
Aosta,Trieste,OK,601993,21415,601965,22211,28,-796
Aosta,Genova,OK,247014,10544,247014,10544,0,0
Aosta,Palermo,OK,1281094,62824,1658992,64964,-377898,-2140
Aosta,Catanzaro,OK,1345546,47749,1346070,47770,-524,-21
Aosta,Potenza,OK,1050735,38841,1050711,38854,24,-13
Aosta,Campobasso,OK,928306,33949,928282,33962,24,-13
Aosta,Perugia,OK,638686,22450,638633,22448,53,2
Aosta,Bari,OK,1064192,38215,1064168,38229,24,-14
Aosta,Ancona,OK,611425,23688,611430,23703,-5,-15
Aosta,L'Aquila,OK,849201,28484,849146,28482,55,2
Aosta,Cagliari,OK,1199243,38098,1272809,202043,-73566,-163945
Aosta,Napoli,OK,957616,32102,957562,32099,54,3
Aosta,Bologna,OK,397805,14219,397805,14219,0,0
Napoli,Roma,OK,220764,7539,220764,7539,0,0
Napoli,Firenze,OK,471585,15161,471911,15161,-326,0
Napoli,Milano,OK,772261,24556,772183,25037,78,-481
Napoli,Torino,OK,891295,29536,891219,30014,76,-478
Napoli,Trento,OK,784892,24861,784816,25339,76,-478
Napoli,Venezia,OK,727907,23215,727305,23549,602,-334
Napoli,Trieste,OK,882672,28157,882569,28906,103,-749
Napoli,Genova,OK,705941,23611,705941,23609,0,2
Napoli,Palermo,OK,323386,30910,720658,34007,-397272,-3097
Napoli,Catanzaro,OK,407176,16791,407735,16812,-559,-21
Napoli,Potenza,OK,173578,7938,173561,7937,17,1
Napoli,Campobasso,OK,131349,7026,131349,7026,0,0
Napoli,Perugia,OK,369736,13025,369735,13025,1,0
Napoli,Bari,OK,261044,10815,261041,10878,3,-63
Napoli,Ancona,OK,423806,15305,423807,15302,-1,3
Napoli,L'Aquila,OK,230606,8603,230574,8598,32,5
Napoli,Cagliari,OK,744471,21099,818082,185045,-73611,-163946
Napoli,Aosta,OK,956884,31945,956776,32426,108,-481
Napoli,Bologna,OK,575841,18806,575766,19186,75,-380
Bologna,Roma,OK,380111,13495,380060,13493,51,2
Bologna,Firenze,OK,111039,4967,110987,4964,52,3
Bologna,Milano,OK,213022,6941,213021,7023,1,-82
Bologna,Torino,OK,332056,11920,332057,12000,-1,-80
Bologna,Trento,OK,225653,7245,225654,7325,-1,-80
Bologna,Venezia,OK,154088,4963,153562,4917,526,46
Bologna,Trieste,OK,308854,9906,308827,10275,27,-369
Bologna,Genova,OK,303207,10433,303207,10511,0,-78
Bologna,Palermo,OK,900790,49822,1278689,51963,-377899,-2141
Bologna,Catanzaro,OK,965241,34748,965767,34768,-526,-20
Bologna,Potenza,OK,653232,25169,653209,25183,23,-14
Bologna,Campobasso,OK,530804,20278,530780,20292,24,-14
Bologna,Perugia,OK,258381,9449,258330,9446,51,3
Bologna,Bari,OK,666689,24544,666666,24558,23,-14
Bologna,Ancona,OK,213923,10017,213928,10032,-5,-15
Bologna,L'Aquila,OK,398510,14820,398439,14832,71,-12
Bologna,Cagliari,OK,818939,25097,892506,189041,-73567,-163944
Bologna,Aosta,OK,397644,14330,397614,14413,30,-83
Bologna,Napoli,OK,577311,19100,577260,19097,51,3
